County Code,County,State Code,State
1,Autauga,1,Alabama
3,Baldwin,1,Alabama
5,Barbour,1,Alabama
7,Bibb,1,Alabama
9,Blount,1,Alabama
11,Bullock,1,Alabama
13,Butler,1,Alabama
15,Calhoun,1,Alabama
17,Chambers,1,Alabama
19,Cherokee,1,Alabama
21,Chilton,1,Alabama
23,Choctaw,1,Alabama
25,Clarke,1,Alabama
27,Clay,1,Alabama
29,Cleburne,1,Alabama
31,Coffee,1,Alabama
33,Colbert,1,Alabama
35,Conecuh,1,Alabama
37,Coosa,1,Alabama
39,Covington,1,Alabama
41,Crenshaw,1,Alabama
43,Cullman,1,Alabama
45,Dale,1,Alabama
47,Dallas,1,Alabama
49,De Kalb,1,Alabama
51,Elmore,1,Alabama
53,Escambia,1,Alabama
55,Etowah,1,Alabama
57,Fayette,1,Alabama
59,Franklin,1,Alabama
61,Geneva,1,Alabama
63,Greene,1,Alabama
65,Hale,1,Alabama
67,Henry,1,Alabama
69,Houston,1,Alabama
71,Jackson,1,Alabama
73,Jefferson,1,Alabama
75,Lamar,1,Alabama
77,Lauderdale,1,Alabama
79,Lawrence,1,Alabama
81,Lee,1,Alabama
83,Limestone,1,Alabama
85,Lowndes,1,Alabama
87,Macon,1,Alabama
89,Madison,1,Alabama
91,Marengo,1,Alabama
93,Marion,1,Alabama
95,Marshall,1,Alabama
97,Mobile,1,Alabama
99,Monroe,1,Alabama
101,Montgomery,1,Alabama
103,Morgan,1,Alabama
105,Perry,1,Alabama
107,Pickens,1,Alabama
109,Pike,1,Alabama
111,Randolph,1,Alabama
113,Russell,1,Alabama
115,St Clair,1,Alabama
117,Shelby,1,Alabama
119,Sumter,1,Alabama
121,Talladega,1,Alabama
123,Tallapoosa,1,Alabama
125,Tuscaloosa,1,Alabama
127,Walker,1,Alabama
129,Washington,1,Alabama
131,Wilcox,1,Alabama
133,Winston,1,Alabama
13,Aleutians East,2,Alaska
16,Aleutians West,2,Alaska
20,Anchorage,2,Alaska
50,Bethel,2,Alaska
60,Bristol Bay,2,Alaska
68,Denali,2,Alaska
70,Dillingham,2,Alaska
90,Fairbanks North Star,2,Alaska
100,Haines,2,Alaska
110,Juneau,2,Alaska
122,Kenai Peninsula,2,Alaska
130,Ketchikan Gateway,2,Alaska
150,Kodiak Island,2,Alaska
164,Lake and Peninsula,2,Alaska
170,Matanuska Susitna,2,Alaska
180,Nome,2,Alaska
185,North Slope,2,Alaska
188,Northwest Arctic,2,Alaska
201,Prince Wales Ketchikan,2,Alaska
220,Sitka,2,Alaska
232,Skagway Hoonah Angoon,2,Alaska
240,Southeast Fairbanks,2,Alaska
261,Valdez Cordova,2,Alaska
270,Wade Hampton,2,Alaska
280,Wrangell Petersburg,2,Alaska
282,Yakutat,2,Alaska
290,Yukon Koyukuk,2,Alaska
1,Apache,4,Arizona
3,Cochise,4,Arizona
5,Coconino,4,Arizona
7,Gila,4,Arizona
9,Graham,4,Arizona
11,Greenlee,4,Arizona
12,La Paz,4,Arizona
13,Maricopa,4,Arizona
15,Mohave,4,Arizona
17,Navajo,4,Arizona
19,Pima,4,Arizona
21,Pinal,4,Arizona
23,Santa Cruz,4,Arizona
25,Yavapai,4,Arizona
27,Yuma,4,Arizona
1,Arkansas,5,Arkansas
3,Ashley,5,Arkansas
5,Baxter,5,Arkansas
7,Benton,5,Arkansas
9,Boone,5,Arkansas
11,Bradley,5,Arkansas
13,Calhoun,5,Arkansas
15,Carroll,5,Arkansas
17,Chicot,5,Arkansas
19,Clark,5,Arkansas
21,Clay,5,Arkansas
23,Cleburne,5,Arkansas
25,Cleveland,5,Arkansas
27,Columbia,5,Arkansas
29,Conway,5,Arkansas
31,Craighead,5,Arkansas
33,Crawford,5,Arkansas
35,Crittenden,5,Arkansas
37,Cross,5,Arkansas
39,Dallas,5,Arkansas
41,Desha,5,Arkansas
43,Drew,5,Arkansas
45,Faulkner,5,Arkansas
47,Franklin,5,Arkansas
49,Fulton,5,Arkansas
51,Garland,5,Arkansas
53,Grant,5,Arkansas
55,Greene,5,Arkansas
57,Hempstead,5,Arkansas
59,Hot Spring,5,Arkansas
61,Howard,5,Arkansas
63,Independence,5,Arkansas
65,Izard,5,Arkansas
67,Jackson,5,Arkansas
69,Jefferson,5,Arkansas
71,Johnson,5,Arkansas
73,Lafayette,5,Arkansas
75,Lawrence,5,Arkansas
77,Lee,5,Arkansas
79,Lincoln,5,Arkansas
81,Little River,5,Arkansas
83,Logan,5,Arkansas
85,Lonoke,5,Arkansas
87,Madison,5,Arkansas
89,Marion,5,Arkansas
91,Miller,5,Arkansas
93,Mississippi,5,Arkansas
95,Monroe,5,Arkansas
99,Nevada,5,Arkansas
101,Newton,5,Arkansas
103,Ouachita,5,Arkansas
105,Perry,5,Arkansas
107,Phillips,5,Arkansas
109,Pike,5,Arkansas
111,Poinsett,5,Arkansas
113,Polk,5,Arkansas
115,Pope,5,Arkansas
117,Prairie,5,Arkansas
119,Pulaski,5,Arkansas
121,Randolph,5,Arkansas
123,St Francis,5,Arkansas
125,Saline,5,Arkansas
127,Scott,5,Arkansas
129,Searcy,5,Arkansas
131,Sebastian,5,Arkansas
133,Sevier,5,Arkansas
135,Sharp,5,Arkansas
137,Stone,5,Arkansas
139,Union,5,Arkansas
141,Van Buren,5,Arkansas
143,Washington,5,Arkansas
145,White,5,Arkansas
147,Woodruff,5,Arkansas
149,Yell,5,Arkansas
1,Alameda,6,California
